theme,text
pro-alkogolikov,"1403 Пьяный муж возвращается домой поздно и оправдывается
перед женой:
-- Я вышел из ресторана еще в девять часов.
-- Что ты плетешь? -- обрывает его жена.-- От ресторана до
нас всего три короткие улицы.
-- Это правда, что короткие, но зато какие широкие! Туда --
сюда, туда -- сюда...

"
pro-alkogolikov,"Приезжает председатель в поле. Тракторист пьяный.
- Сколько выпил?
- Две кружки пива.
- Врешь!
- Спросите у собаки.
Председатель спрашивает:
- Сколько хозяин выпил пива?
- Гав! Гав!
- Видите,- говорит тракторист.- Собака врать не будет.
На следующий день снова тракторист пьяный.
- Сколько выпил?
- Две кружки пива.
- Врешь!
- Спросите у собаки.
- Гав! Гав!
- А червивки сколько?
- У-у-у-у-у-уЄ

"
pro-alkogolikov,"Сидят в КПЗ наркоман и алкоголик. Наркоман, не долго думая,
откалывает от стены кусок штукатурки,
лепит папиросу, пыхтит и отваливается к стенке в кайфе.
Алкоголик смотрит на это дело и просит наркомана слепить
и ему папиросу. Сказано - сделано. Выкурил алкоголик папиросу -
не берет. Он к наркоману:
- Слушай брат, почему меня не тащит?
Наркоман, блаженно потягиваясь:
- Рожденный ползать, летать не может!
"
pro-alkogolikov,"- Знаете ли вы, что если из мебели у вас один журнальный столик - то вы не журналист, вы алкоголик.

"
pro-alkogolikov,"Обращение наркомана к алкоголику:
- Рожденный ползать, уйди со взлетной полосы!

"
pro-alkogolikov,"Пьяный муж возвращается позно с работы с синяком, грязный. Жена: - Что с тобой случилось? - Мужик один побил. - Ну ты хоть как-то прореагировал? - Да. Я упал.
"
pro-alkogolikov,"Объявление:Вызов алкоголика-собеседника на дом.
"
pro-alkogolikov,"Четверо алкашей спорят у кого больше руки трусятся.
Первый:
- Я только из горлышка пью, пока стакан до рта донесу - все разливаю.
Второй:
- А я и из горлышка не могу - зубы выбиваю !
Третий:
- А я когда писаю так три раза кончаю !
Четвертый:
- А я покакать нормально не могу: пока подотрусь - все дерьмо по спине
до шеи размажу !!!

"
pro-alkogolikov,"Встpечаются два дpуга один дpугого спpашивает
- Как тебе пила сизым домой пускает ?
- Пpихожу я домой. Пеpед двеpью pаздеваюсь.Стучу. Жена откpывает двеpь я
швыpь одежду в хату. Она видет меня голым ей становится меня жалко и она
впускает. После этого дpуг едет домой сизый,pазделся.Двеpь откpывается он
швыpь одежду. Двеpь за кpывается ""Следующая остановка ул.Победы""

"
pro-alkogolikov,"В трамвае сидит пьяный мужик с растегнутой ширинкой, а женщина, сидящая напротив ему говорит, смущаясь:- Мужчина! у вас магазин открыт...- А ты там директора видишь?- Директора!? Нет. А спящего сторожа на мешках - да...
"
pro-alkogolikov,"Пьяный конферасье в ресторане:- А теперь белый танец. Дамы приглашают негров.
"
pro-alkogolikov,"Однажды пьяный муж возвращается домой поздно.
- Опять нализался! - возмущается жена.- Ты же говорил мне, что
никогда больше не будешь пить, а сегодня обещал любить меня.
- Обязательно буду, только дай выпить еще одну рюмочку!
Жена приносит рюмку, муж выпивает и задумывается.
- Милая, для укрепления нашей любви мне надо выпить еще
рюмочку!
Жена в отчаянии выбегает на балкон и кричит:
- Господи! Есть ли в этом доме настоящий мужчина?!
С первого этажа слышит:
- А что, есть выпить?

"
pro-alkogolikov,"Выходит пьяный кавбой из бара и проходя мимо лошади гладит ее и идет дальше. Лошадь поворачивает морду ему в след и спокойным голосом говорит: ""Я учусь в университете!""
Кавбой в шоке, не может быть, говорящая лошадь! На этом же можно прославиться и заработать деньги!
Тем временем из бара покачиваясь выходит пьяный в стельку другой кавбой, хозяин лошади.
Уже почти протрезвевший кавбой увидевший хозяина лошади бросился к нему, и начинает объяснять, что лошадь говорящая и она говорит такое!
Пьяный хозяин : Ну, пусть скажет!
Лошадь: Я учусь в университете!
Пьяный хозяин: Да врет, она нигде не учится!..
"
pro-alkogolikov,"Чем ближе к Новому Году - тем больше иронии в судьбе алкоголика.


"
pro-alkogolikov,"В ресторане.
- Девушка, что у вас сегодня на первое?
- Первого не варили.
- А на второе?
- Второго три дня нет.
- А на третье?
- А на третье хоть сама ложись.
- Хорошо. Тогда три третьих.

"
pro-alkogolikov,"Идут три алкоголика и два из них спорят на тему ""Кто из них самый пьяный"".
Первый:
- Видишь там берёза ростёт, а мне кажется, что там их три.
- Тебе три , а мне и того хуже, девять кажется.
Тут их отталкивает третий и говорит:
- Разойдись топа, я в этой роще спать буду!!!

"
pro-alkogolikov,"Заходит к доктору на прием в дюпель пьяный больной.
Доктор, развернувшись и исподлобья взглянув на пациента:
- О,..., еще один любитель выпить.
- Обижаете, доктор. Профессионал!

"
pro-alkogolikov,"За справку, что я не алкоголик поставил наркологу ящик водки...


"
pro-alkogolikov,"Идет мужик домой пьяный и думает: ""Опять жена орать будет, а я сяду на кухню и возьму книгу, она увидит спросит ""Ты что опять пил? "",а я ""Нет вот видишь книгу читаю"". Приходит потихоньку домой, садится на кухню берет книгу. Жена заходит:
- Ах ты, гад, опять напился?!
- Ты что, видишь, книжку читаю.
- Идиот, закрой чемодан и иди спать!

"
pro-alkogolikov,"Пришел мальчик(М) в бар и говорит: Дай мне 100 грамм водки!
Официант(О) в непонятках че за делы и отвечат: Ты че охренел малой?
М: У меня отец умер.
Оф: Ну ладно на, а что случилось?
М: Папа пьяный домой пришел закурил и уснул. Дома пожар соседи пожарных вызвали. Папа с 9 этажа вниз сиганул.
Оф: Разбился?
М: Нет пожарные тенд растянули и он обратно домой полетел.
Оф: Сгорел?
М: нет он опять вниз.
ОФ: Разбился?
М: Нет на тенд упал.
ОФ: Ну а что случилось?
М: Достал он всех, застрелили его.

"
pro-alkogolikov,"Муж говорит жене:
- Представь себе, оказывается верблюд может целую неделю не пить.
- Эх, удивил чем, - ответила жена, - вот если бы ты с неделю не пил.

"
pro-alkogolikov,"Кондуктор подходит в автобусе к пьяному мужику:
- Молодой человек - деньги за проезд?
Пьяный, оттопыривая карман:
- Сыпь сюда...
"
pro-alkogolikov,"Выходит пьяный мужик из ресторана и кричит другому:- Швейцар, тачку к крыльцу!- Да я не швейцар, я - адмирал, - отвечает тот.- Ну тогда катер побыстрее!
"
pro-alkogolikov,"Питер. Стоит мужик в кунсткамере перед младенцем-уродом в спирте и что-то бормочет себе под нос. А рядом была экскурсия, и экскурсовода очень заинтересовало, что он там себе бормочет.
Подходит и спрашивает:
- Молодой человек, что вы говорите себе под нос?
А он отвечает, глядя на экспонат:
- Везет же.... Вечно молодой.. Вечно пьяный...

"
pro-alkogolikov,"Встречаются во дворе два друга после очередной пьянки. Один другому говорит:
- Меня жена как-то по-иностранному звать стала. Имя такое интересное, но я
его никак запомнить не могу.
Тут выходит его жена на балкон и кричит:
- Кобелина, домой !

"
pro-alkogolikov,"Приходит мужик поздно вечером домой. Пьяный и помятый. Жена его
встречает, улыбается вся:
- Привет, мой Супермэн.
- Где ты был, мой Супермэн?
- Пойдем, накормлю тебя ужином, мой Супермэн...
- Пошли спать, мой Супермэн.
Муж не выдерживает и спрашивает:
- А с чего ты меня Супермэном стала называть?
- А только супермэны трусы поверх брюк носят.

"
pro-alkogolikov,"Один пьяный привел домой кореша ночью. Как можно тише открыл дверь, на ципочках они проходят в спальню:- Тсссс!... Видишь, Вася, на кровати - это моя жена, а рядом с ней, с  усами - это я.
"
pro-alkogolikov,"1401 Пьяный тщетно пытается бросить пятак в автомат.
Прохожий:
-- Ну ты, брат таксист, и нализался!
Пьяный:
-- Почему это я таксист?
Прохожий:
-- Так ведь шапка же у тебя форменная, таксистская!
Пьяный:
-- Странно! А была ондатровая...

"
pro-alkogolikov,"946.состоялась защита кандидатской диссертации на тему: ""введение
спиртного через задний проход"". диссертант научно доказал, что
этот способ имеет преимущества перед обычным: мало нужно, чтобы
опьянеть; можно без закуски; изо рта не пахнет. оппонент задал
вопрос, как при этом способе выпивать на брудершафт.
- это тема моей докторской, - ответил диссертант.
947.(для математиков) что такое производная пьянка? это такая
пьянка, которая на деньги от бутылок за первую пьянку. а что
такое существенная пьянка? это такая пьянка, у которой вторая
производная не ноль.
948. - что такое пол-литра на троих по-африкански?
- двое пьют, третьим закусывают.
949. - какова причина торфяных пожаров в подмосковье?
- брежнев сказал: пусть горит земля под ногами алкоголиков!
950.""аполлон"" и ""союз"" после стыковки летят вместе. они пролетают
над советским союзом и видят миллионы телескопов, уставленных в
небо.
- какая тяга к науке в вашем народе! - восхищаются
американские космонавты.
- не, это они из горла пьют!
"
pro-alkogolikov,"- Добрый вечер! - сказала белая лошадь.
- Э, здравствуйте, - ответил Павел, со слезами на глазах вспоминая рассказы людей о симптомах белой горячки.
- А вы откуда? - вежливо спросила лошадь.
- Из Медведково, - сказал Паша, медленно вспоминая, есть ли у него сигареты, спички, зажигалка, газовый баллончик и все прочее необходимое, когда у вас ночью в парке спрашивают откуда вы.
- Хм-мм-м, а вы случайно не пьяный? - усомнилась лошадь, принюхавшись и фыркнув.
- Совсем нет! - храбро соврал Паша, надеясь, что тут-то запах и сгинет в тумане.
- Hу, тогда извините... А у вас деньги на такси есть, а то я подвезу?
- Hет, не надо, - с достоинством ответил Павел, и сообразив, что это невежливо, добавил, - Я сегодня зарплату получил, вот...
- До свидания, молодой человек, - сказала лошадь и, медленно повернувшись, ушла в туман.
- До свидания, Белая Лошадь, - с облегчением вздохнул Паша...
Ответом ему был дружный хохот патруля конной милиции, выведенного на дежурство в парке в этот вечер.
"
pro-alkogolikov,"Иван-царевич просыпается с бодуна. К жене:
- Василисушка дай червончик на пивко.
- Отвали алкоголик несчастный.
- Как была жабой так жабой и осталась!

"
pro-alkogolikov,"Мужик, пьяный в доску, приходит домой в три часа ночи, а там его жена со скалкой встречает. Жена:
- Ты знаешь, сколько сейчас времени?
- Нет.
- Тогда вот тебе один час (бьет его скалкой), вот тебе два часа (опять бьет), и вот тебе три часа (снова бьет)! А теперь пошел спать, скотина!
Мужик, почесав репу, говорит:
- Хорошо, что меня не угораздило прийти в полночь! . .
"
pro-alkogolikov,"- Папа,представляешь,выхожу из института, Пристает какой-то пьяный урод и предлагает сделать минет вот за эту цепочку...
"
pro-alkogolikov,"Приходит женщина к психологу, вся побитая, в синяках, просто жалко смотреть.
Психолог: - Господи, что же с вами произошло?
Женщина: - Да понимаете, доктор, муж как домой пьяный придёт, так меня и бьёт... .
Психолог: - Я знаю прекрасное народное средство! Сделайте себе крепкий отвар ромашки и как только муж придёт домой - сразу начинайте полоскать отваром рот.
Через две недели: та же женщина, только её не узнать! Красавица, излучает уверенность в себе, в общем полный успех.
Ж: - Доктор, я вам так благодарна, чудесный рецепт и такой простой!
В чём же секрет?!
П: - Дело в том, сударыня, что молчание в таких ситуациях помогает всегда!
"
pro-alkogolikov,"Студент Финансовой Академии валяется пьяный в коридоре. Идет профессор и спрашивает:
— Студент?
— С-с-студент, — пьяным голосом отвечает парень.
— Какой курс?
— Двадцать восемь рублей, тридцать четыре копейки.
"
pro-alkogolikov,"Пьяный в 5 часов утра вываливаясь из бара:
- Что за странный запах?
Прохожий:
- Свежий воздух, сэр.
"
pro-alkogolikov,"- Ты что сегодня вечеpом делаешь?
- Hичего. Я пить бpосил.

"
pro-alkogolikov,"Жена приходит домой купив новую скалку. Ей навстречу выходит пьяный муж и говорит:- Ты че очумела? В доме ни капли спиртного, а ты новую мебель покупаешь...
"
pro-alkogolikov,"Идет похоронная процессия. Навстречу ей пьяный мужик. Он замечает идущего впереди мужа покойной, приходит в восторг и подходит к нему:
- Сер-р-рега! Однокласснич-ч-чек, скока лет, скока зим!
- Слушай, извини, у меня горе - моя жена умерла.
- О так ты женился?! Поздравляю!
"
pro-alkogolikov,"Приходит муж домой пьяный. Ударяет кулаком по столу: - Жена, свари картошки! Жена робко отвечает: - Картошка вся... - Вот всю и свари!
"
pro-alkogolikov,"Муж приходит домой вечером на рогах. Жена:
- Алкоголик! Не работаешь! Весь дом на мне! Детьми я занимаюсь! Квартиру мои родители подарили! Ты никто! Я хозяйка дома!
Муж молча дает ей в бубен. Жена падает. Он перешагивает ее. Созвонился с друзьями, сидят, пьют на кухне водку. Друзья спрашивают:
- А че у тебя жена в коридоре лежит?
- Хозяйка дома, где хочет там и лежит.
"
pro-alkogolikov,"Меломана, алкоголика и программера спросили, что бы те делали,
если бы они вдруг проснулись в 80-м году...
Меломан пошел бы спасать Джона Леннона.
Алкоголик бы упился дешевой водки.
А программер бы повесился...
Почему?
А что, опять за ЕС садиться?

"
pro-alkogolikov,"1357-- Водитель, вы пьяны?
-- Сэр, спросите в Глазго любого, и вам скажут, что Ман-
ферсон -- самый лучший водитель среди всех алкоголиков.

"
pro-alkogolikov,"""Голубой вагон бежит, качается"", неужели пьяный голубой?!


"
pro-alkogolikov,"Приходит домой пьяный гражанин Козлов и говорит жене: ""Все-таки зря говорят, что новые русские грубые и необразованные. Я вот сейчас дорогу перебегал перед мерседесом. А водитель меня даже уважительно по фамилии назвал. Для вас, говорит, козлов, подземный переход построили.
"
pro-alkogolikov,"Приходит домой муж пьяный в усмерть Открывает холодильник и говорит:
- Шеф в центр повезешь ?
- Нет ну и х$% с тобой
и так пол-ночи
Утром проснувшись и увидев что он сделал с холодильником взял его и побежал в
мастерскую, пока жена спит.
Жена встает и увидев что нет холодильника, говорит:
- Настырный какой, все таки уехал <
"
pro-alkogolikov,"Пьяный мужик валяется в луже напротив женского монастыря.
Монашки вылезли в окна и прикалываются над ним.
Мужик усилием воли поднимает морду из лужи и орет:
- Да я завтра просплюсь приду и весь ваш монастырь перетрахаю!
На следующий день проспался и стало ему стыдно. Собрался и пошел к
монастырю:
- Простите пожалуйста, перебрал вчера, не ведал что говорил!
Монашки, хором:
- Вали отсюда, трепло!

"
pro-alkogolikov,"Живут в одной коммунальной квартире профессор и студент-пьяница. Каждый раз, приходя ночью домой, студент с грохотом кидает сапоги в стенку и будит несчастного профессора. И каждый раз профессор умоляет студента не шуметь по ночам. Как-то студент пришел за полночь домой, сорвал один сапог, кинул его в стенку, вспомнил про несчастного соседа и, тихо поставив на пол второй сапог, завалился на кровать и заснул. Через час раздается истошный крик:
- Вы когда-нибудь снимете второй сапог?
"
pro-alkogolikov,"Пьяный на остановке обнял фонарный столб. Подходит другой:
- Ты что тут делаешь?
- Да вот, трамвай жду.
- Смотри, тебя с этой хреновиной в трамвай не пустят.

"
pro-alkogolikov,"НР пьяный валяется в луже. В дорогих ботинках, в костюме
от Диора. Мимо идет (Б)омж. Смотрит Б никого рядом нет,
взял раздел НР, переоделся в его одежду и ушел.
На следующий день НР звонит братве, мол, вчера такая история
вышла, надо найти бомжа, причем костюм эксклюзивный был (то есть ни
у кого такого не может быть).
Ну, стали искать, быстро нашли этого Б на вокзале.
Б им говорит: ""Иду я вчера по улице, смотрю НР в луже пьяный
валяется, ну я его трахнул, потом одежду забрал и ушел"".
НР (испугавшись): "" Ой, подождите, мужики, пуговицы на костюме
у меня другие были!!!""

"
pro-alkogolikov,"Приходит пьяный отец семейства ночью домой.Заходит в коридор и тут грохот, шум, падают санки, велосипеды, этажерка.Включается свет в коридоре, стоят взлохмаченная жена, испуганные дети.Отец: - Ну что, не спится без папки-то?
"
pro-alkogolikov,"Идет Маяковский с двумя девицами по городу, видит перед ним лужа,в луже лежит пьяный лицом вниз.
Одна из девиц:
Володя, а вы можете продемонстрировать свое искусство?
Маяковский встает в позу и декламирует:
""Hа нашем жизненном пути
Лежит безжизненное тело..""
Пьяный поднимает голову:
""А вам, козлам, какое дело
Могли бы просто обойти..""
Маяковский: пойдемте девушки, это Есенин.

"
pro-alkogolikov,"Комиссия по проверке техники приехала в танковую часть. Из бокса выходит пьяный лейтенант и, увидев генерала, подходит к нему строевым шагом:- Товарищ генерал! Командир танкового корпуса лейтенант Петров!- Сколько служу, никогда не видел лейтенанта в должности командира корпуса.- Все просто. Движок пропили, шасси пропили, пушку пропили, остался один корпус...
"
pro-alkogolikov,"Пьяный гаишник останавливает машину. Оттуда выходит мужик. Гаишник: - Почему за рулем двое?Мужик отвечает: - И стоило из-за этого машину окружать?
"
pro-alkogolikov,"Встречаются двое.
- Мусора - уроды.
- Почему?
- Вчера права забрали.
- За что?
- Да, прикопались, как обычно. Ехал без аптечки. Номера грязные! На красный! Задом! По встречной! Пьяный...
"
pro-alkogolikov,"Пьяный лежит в луже, подбегает собачка и лижет пьяному лицо.
-- Ню-ню, и не целуйте, и не просите, за стол больше не сяду...

"
pro-alkogolikov,"Hа пpоезжей части улицы лежит пьяный. К нему подходит милиционеp.
- Гpажданин, вставайте!
- А где я нахожусь?
- У Hаpвских воpот.
- Слушай, сделай добpое дело, закpой их, дует!

"
pro-alkogolikov,"Муж приходит домой пьяный. Понял, что жена будет ругаться. Схватил самую большую книгу и делает вид, что читает.Жена:- Ну что, опять нажрался?- Ты что? Не видишь, читаю лежу!- Дурак! Закрой чемодан и спи!
"
pro-alkogolikov,"Пьяный мужик по дороге домой купил букет цветов. Приходит домой, его встречает жена, он протягивает ей цветы. Она Ему говорит: И что мне теперь, ноги раздвигать?Он ей: А что, разве у нас вазы нет?
"
pro-alkogolikov,"Едет мужик в тpамвае, бухой в дупель. Рядом сидит такая вся из себя дамочка
в шубе. Hу, мужик сидел сидел, кpепился кpепился, но все-таки его м...
сдуpнило. Пpямо на шубу дамочке.
мадам: (тоненьким таким голоском) Hу мужчина, ну как же можно, ну это же...
мужик: да х^%ня...
мадам: (тем же голоском) как х^%ня, как х^%ня !

"
pro-alkogolikov,"Бракоразводный процесс, в суде:- Я сразу поняла, гражданин судья, что он пьяница, вор и скандалист, но думала, что он, по крайней мере, будет хорошим мужем.
"
pro-alkogolikov,"Идет пьяный мужик, видит лужа...Стоит и смотрит, что в луже отражается луна, и садится на нее...Рядом проходит милиционер и спрашивает:- Ты что делаешь???Тот отвечает:- Не видишь, на луне сижу!!!Милиционер:- Ну сиди, сиди... Сейчас луноход приедет и тебя лунатики заберут...
"
pro-alkogolikov,"Стоит студент, довольно пьяный, на улице - отливает. Мимо проходит женщина возраста
около 40, прилично одетая, интеллигентная. Говорит:
- Молодой человек! Как вам не стыдно!
(присматриваясь)
...Но, впрочем - давайте познакомимся!

"
pro-alkogolikov,"- На свадьбе кинологов пьяный гармонист два часа играл на шарпее.
"
pro-alkogolikov,"Ограбили банк. Из сейфа украли жемчуг. Полиция за неимением других подозреваемых арестовала пьяного, который лежал возле банка. В участке его начали пытать - окунают голову в тазик с водой и спрашивают:
-Где жемчуг?
-Не знаю.
Его опять в воду. И так снова и снова. После очередного раза пьяный не выдерживает и кричит:
-Стоп! Стоп! Если хотите найти жемчуг, наймите другого ныряльщика, я здесь ничего не вижу.

"
pro-alkogolikov,"Народная примета.
Если пришёл в первом часу ночи домой пьяный от любовницы, а жена и тёща делают вид, что ничего не произошло - значит, еда отравлена, топор наточен: спать нельзя, а то зарубят!

"
pro-alkogolikov,"Приходит пьяный актёр домой и начинает к жене с поцелуями приставать. Она ему:- Да ты хоть себя в зеркало-то видел?- А что, меня уже и по зеркалу показывают?!
"
pro-alkogolikov,"Алкоголика pазбиpают на собpании:
- Такая напpяженная обстановка в миpе, а вы все пьете !
Вы хоть знаете, что такое атомная война ?
- Конечно !
- Что ?
- Зашел на кухню, откpыл кpан, а там водка льется...
- Ну все ! Пеpепил... Галлюцинации.
- Зайдешь в ванную, а там водка из кpана льется...
- Допился !
- Выйдешь на балкон, а там водочный дождь идет...
- Ну и что ?
- А пить-то некому !

"
pro-alkogolikov,"Сегодня друзья утром улыбнули (хотя и спохмела был) — рассказали, как я вчера в ночном ларьке, вдрободан пьяный, покупал сигареты не то «Windows Lights», не то «Winston XP». Завязывать надо мне — брать с друзей бухло за переустановку винды и софта.
"
pro-alkogolikov,"Жили-были сестрица Аленушка и братец Иванушка. Аленушка была умная да работящая, а Иванушка был алкоголик. Сколько раз сестрица ему говорила - ""Не пей, Иванушка, козленочком станешь!"" Но Иванушка не слушал и пил. Вот как-то раз купил он в ларьке паленой водки, выпил и чувствует - не может больше на двух ногах стоять, пришлось на четыре точки опуститься. А тут как раз подходят к нему волки позорные и говорят: ""Ну что, козел, допился?"" И так надавали ему по рогам, что он отбросил копыта. А сестрице Аленушке досталась его квартира, потому что добро всегда побеждает зло!

"
pro-alkogolikov,"Из разговора подруг:- Мой муж был алкоголиком и я решила отвести его к доктору Майорову, теперь доктор Майоров тоже алкоголик!
"
pro-alkogolikov,"Вечер. Жена ждет мужа с работы. Борща наварила, вареников налепила, пирог испекла. Восемь часов - мужа нет. Девять - нет. Десять - нет. Жена в бешенстве. В три часа ночи в дверь стучит пьяный в доску муж. Дорогая, открой. Жена отвечает, мол иди откуда пришел, я так старалась, а ты! Муж опять стучит. Жена опять не открывает.
Муж:
- Галя, открой..
Жена:
- Не буду..
Муж:
- Галь, а Галь, а угадай, чем это я стучал..
Жена:
- Ну ладно уж, заходи, цыник...

"
pro-alkogolikov,"Пьяный негр стоит возле дерева и стонет. Подходит к нему мужик:
- Что, плохо?
- Угу.
- Домой хочешь?
- Угу.
- Ну, давай, подсажу...

"
pro-alkogolikov,"- Официант, отбивная у вас такая маленькая, что я ее проглочу за
один раз!
- Ошибаетесь! Нашу отбивную вы будете жевать полчаса.

"
pro-alkogolikov,"Неловкий официант опрокинул графин воды на брюки клиента. возмущенные возгласы пострадавшего прибежал хозяин:
- Могу вас заверить, мосье, - примирительно изрек он, - что вода
у нас чистая и, надеюсь, ваши брюки не испортятся. Кроме того, нас такое неторопливое обслуживание, что ваши брюки вполне
высохнут к тому времени, когда вам подадут десерт.

"
pro-alkogolikov,"- Ты кого больше боишься за рулем?
- Солдат.
- А еще кого?
- Мотоциклистов.
- А еще кого?
- Пьяных.
- А женщин не боишься?
- О!!! Женщина за рулем - это пьяный солдат на мотоцикле.
"
pro-alkogolikov,"Поднимается мужик по лесенке, в pуках у него 6 десятков яиц и пузыpь водки.
Вдpуг одно яйцо падает. И не pазбивается. Мужик нагибается, чтобы поднять это
яйцо, и у него падает бутылка. Водка pазбивается ;-)
Мужик (бpосая со всего маху оставшиеся яйца на пол):
- Да на х.. тепеpь мне нужны эти яйца !!!

"
pro-alkogolikov,"Просыпается как то утром ГЕНЕРАЛ и вспоминает, что вчера напился, обрыгался и т. д.
А рядом солдатик чистит его мундир, генералу стало стыдно и он как бы невзначай говорит:
- Представляешь солдат, я вчера иду по части, а не на встречу пьяный сержант. Я ему как ты смеешь подлец, негодяй так он взял и обрыгал меня, я ему за это три наряда вне очереди дал.
Солдат продолжает чистить мундир и тихонько говорит:
- Мало дали, он Вам еще и в штаны н....л!

"
pro-alkogolikov,"Лучше быть алкоголиком, чем женой алкоголика...


"
pro-alkogolikov,"Муж приходит домой пьяный очень поздно.
Жена:
- Где ты был?
- Люся, я был на кладбище...
- Что случилось?! Кто-то умер?
- Люся, ты не поверишь - там все мертвые...

"
pro-alkogolikov,"Селекционеры вывели новый сорт майского жука. На 1 мая жук раскидывает листовки, выкрикивает лозунги и устраивает пьяный дебош.

"
pro-alkogolikov,"На берегу озера сидел пьяный Змей Горыныч и пел хором, невпопад.
"
pro-alkogolikov,"В тир заходит совершенно пьяный мужик и требует оружие в призовом секторе. Хозяин внимательно следит за ним, но оружие выдал.
Пьяный стреляет без остановки десять выстрелов и все в яблочко!
Хозяин восхищен:
- Отлично! Вы можете выбрать себе любой приз!
- Мн-н-е д-до лам-п-п-очки! - еле выговорил снайпер.
Хозяин подает ему черепаху, и стрелок уходит.
Через полчаса он возвращается и требует опять оружие. 10 выстрелов и опять все в яблочко!
- Что вы хотите в качестве приза на этот раз? - спрашивает хозяин тира.
- П-п-п-с-с-с, в-в-в-с-с-с-е рав-н-н-о! Только на эт-т-от раз-з-з дай мне бут-т-т-ерброд помягче!
"
pro-alkogolikov,"Ленин доказал, что страной может управлять народ
Сталин доказал, что страной может управлять один человек
Хрущев доказал, что страной может управлять любой дурак
Брежнев доказал, что страной можно не управлять
Черненко и Андропов доказал, что страной могут управлять полтора человека
Горбачёв доказал, что страной может управлять не любой дурак
Елицин доказал, что страной может управлять любой алкоголик
Путин доказал, что страной можно управлять не переизбераясь на третий срок
Медведев доказал, что став Президентом , ты ещё не можешь управлять страной
"
pro-alkogolikov,"Муж напился,и чтобы жена не заметила,решил заесть запах.Наелся всего,что под рукой было-лук,чеснок,одеколон и т.д.Приходит домой,звонит.Жена из-за двери:""Кто там?"".Муж:""Я"".Жена:""Опять пьяный?"".Муж:""Кака стекло"".Жена:""А ну,дыхни в замочную скважину!"".Муж дыхнул.Жена, помолчав :""Слышь,Ваня,ты ртом дыши-то!""
"
pro-alkogolikov,"59 Приходит домой муж. Пьяный в стельку. Стоит возле две-
ри, покачивается. А жена ну его ругать, упрекать да выговаривать.
Муж -- ни слова. С трудом, молча дошел до стола, сел. А жена ему:
и проклятый, и окаянный, и дурак, и осел... В ответ -- ни слова,
лишь взгляд туманный, безразличный. И вдруг медленно поднял
руку, протягивает жене.
-- Не нужна мне твоя рука. Не хочу мириться, пьяница по-
ганый. Чего руку тянешь?
Муж руки не опускает. Слушал, слушал ругань супруги, а
затем произнес с трудом:
-- На, скрути фигу сама...

"
pro-alkogolikov,"Заваливается в квартиру вдрабадан пьяный мужик и орет:
- С%КА, Я ДОМА!
Снимает ботинки, следы от которых видны уже на потолке и орет:
- Я ДОМА!
Разбивает хрустальную вазу и орет:
- Я ДОМА!
Переворачиват с ног на голову всю кухню и орет:
-Я ДОМА!
Срывает с кровати простынь, бросает ее на пол, ложится и говорит:
- Б%%%ь, как хорошо жить одному!
"
